,Year,RC_ID,Region,GIS Code,Ramp,Begin Milepoint,End Milepoint,Roadway Begin Description,Roadway End Description,Municipality,Signing,Route Number,Road Name,AADT,Count Type
11192,2014,01_0001,11,10070602.0,N,0.0,0.07,NY/BRONX CO LINE,RT 87I MAJ DEGAN EXPY UNDER,NEW YORK CITY,INTERNY,95,,121092,FORECAST
11193,2014,01_0002,11,10070602.0,N,0.07,0.58,RT 87I MAJ DEGAN EXPY UNDER,MACOMBS RD OVER,NEW YORK CITY,INTERNY,95,,125581,FORECAST
11194,2014,01_0003,11,10070602.0,N,0.58,1.21,MACOMBS RD OVER,END 1/95I OLAP WEBSTER AVE,NEW YORK CITY,INTERNY,95,,162758,FORECAST
11195,2014,01_0004,11,10001102.0,N,1.21,2.71,END 1/95I OLAP WEBSTER AVE,E FORDHAM RD,NEW YORK CITY,US,1,WEBSTER AVE,16106,FORECAST
11196,2014,01_0005,11,10001102.0,N,2.71,3.83,E FORDHAM RD,RT 907H BRONX RIVER PKWY SOU,NEW YORK CITY,US,1,E FORDHAM RD,35426,FORECAST
11197,2014,01_0006,11,10001102.0,N,3.83,4.01,RT 907H BRONX RIVER PKWY SOU,PELHAM PKWY BOSTON POST RD R,NEW YORK CITY,US,1,E FORDHAM RD,47905,FORECAST
11198,2014,01_0007,11,10001102.0,N,4.01,5.44,PELHAM PKWY BOSTON POST RD R,GUN HILL RD,NEW YORK CITY,US,1,BOSTON RD,15079,FORECAST
11199,2014,01_0008,11,10001102.0,N,5.44,7.08,GUN HILL RD,RT 22 PROVOST AVE,NEW YORK CITY,US,1,BOSTON RD,21199,FORECAST
11200,2014,01_0009,11,10001102.0,N,7.08,7.62,RT 22 PROVOST AVE,BRONX/WEST CO LINE,NEW YORK CITY,US,1,BOSTON RD,23301,ACTUAL
11201,2014,01_0010,11,10051402.0,N,0.0,0.82,NY/BRONX CO LINE,VAN CORTLAND SOUTH,NEW YORK CITY,US,9,BROADWAY,14922,FORECAST
11202,2014,01_0011,11,10051402.0,N,0.82,1.78,VAN CORTLAND SOUTH,START 9/9A OLAP H.H. PKY,NEW YORK CITY,US,9,BROADWAY,15804,FORECAST
11203,2014,01_0012,11,10051402.0,N,1.78,2.58,START 9/9A OLAP H.H. PKY,BRONX/WEST CO LINE,NEW YORK CITY,US,9,BROADWAY,11626,ACTUAL
11204,2014,01_0014,11,10050302.0,N,0.0,1.03,NY/BRONX CO LINE,RIVERDALE AVE OVER,NEW YORK CITY,NY,9A,HENRY HUDSON PK,60710,FORECAST
11205,2014,01_0016,11,10050302.0,N,1.03,2.33,RIVERDALE AVE OVER,END 9A/907V OLAP & RT 9 OVER,NEW YORK CITY,NY,9A,HENRY HUDSON PK,78991,FORECAST
11206,2014,01_0017,11,10049501.0,N,0.0,0.42,I-278 BRUCKNER EXPY,ST ANNIS AVE,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,130848,FORECAST
11207,2014,01_0018,11,10017101.0,N,0.0,0.19,RT 1,EAST 233RD ST,NEW YORK CITY,NY,22,PROVOST AVE,14333,FORECAST
11208,2014,01_0019,11,10017101.0,N,0.19,0.36,EAST 233RD ST,BRONX/WEST CO LINE,NEW YORK CITY,NY,22,PROVOST AVE,10200,FORECAST
11209,2014,01_0020,11,10049501.0,N,0.42,0.56,ST ANNIS AVE,ACC WILLIS AVE,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,101267,FORECAST
11210,2014,01_0021,11,10049501.0,N,0.56,1.15,ACC WILLIS AVE,ACC GRAND CONCOURSE,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,99749,FORECAST
11211,2014,01_0022,11,10049501.0,N,1.15,1.18,ACC GRAND CONCOURSE,ACC EAST 138TH ST,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,71673,FORECAST
11212,2014,01_0023,11,10049501.0,N,1.18,2.44,ACC EAST 138TH ST,ACC MACOMBS DAM BRIDGE,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,95847,FORECAST
11213,2014,01_0024,11,10049501.0,N,2.44,3.4,ACC MACOMBS DAM BRIDGE,ACC 95I CROSS BRNX EPY,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,90336,FORECAST
11214,2014,01_0025,11,10049501.0,N,3.4,4.76,ACC 95I CROSS BRNX EPY,ACC W FORDHAM RD,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,105944,FORECAST
11215,2014,01_0026,11,10049501.0,N,4.76,5.92,ACC W FORDHAM RD,ACC WEST 230TH ST,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,131775,FORECAST
11216,2014,01_0027,11,10049501.0,N,7.21,7.55,ACC HENRY HUDSON PKWY,ACC EAST 233 ST,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,118794,FORECAST
11217,2014,01_0028,11,10049501.0,N,6.88,7.21,ACC VAN CORTLAND PARK,ACC HENRY HUDSON PKWY,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,91542,FORECAST
11218,2014,01_0030,11,10049501.0,N,7.55,8.7,ACC EAST 233 ST,BRONX/WEST CO LINE,NEW YORK CITY,INTERNY,87,MAJOR DEEGAN EX,80561,FORECAST
11219,2014,01_0031,11,10070602.0,N,1.21,1.86,END 1/95I OLAP WEBSTER AVE,CROTONA AVE OVER,NEW YORK CITY,INTERNY,95,,143442,FORECAST
11220,2014,01_0032,11,10070602.0,N,1.86,2.63,CROTONA AVE OVER,I895 SHERIDAN EXPWY UNDER,NEW YORK CITY,INTERNY,95,,167457,FORECAST
11221,2014,01_0033,11,10070602.0,N,2.63,3.0,I895 SHERIDAN EXPWY UNDER,RT 907H BRONX RIVER PKWY UND,NEW YORK CITY,INTERNY,95,,127796,FORECAST
11222,2014,01_0034,11,10070602.0,N,3.0,3.71,RT 907H BRONX RIVER PKWY UND,WESTCHESTER AVE OVER,NEW YORK CITY,INTERNY,95,,107428,FORECAST
11223,2014,01_0035,11,10070602.0,N,3.71,5.09,WESTCHESTER AVE OVER,I-278 END CONNECTION,NEW YORK CITY,INTERNY,95,,101388,FORECAST
11224,2014,01_0036,11,10070602.0,N,5.09,5.9,I-278 END CONNECTION,I-695 UNDER,NEW YORK CITY,INTERNY,95,,57473,FORECAST
11225,2014,01_0037,11,10070602.0,N,5.9,7.32,I-695 UNDER,START NEW YORK STATE THRUWAY,NEW YORK CITY,INTERNY,95,,128759,FORECAST
11226,2014,01_0038,11,10070602.0,N,7.32,7.65,START NEW YORK STATE THRUWAY,RT 908A  HUTCHINSON RIVER PK,NEW YORK CITY,INTERNY,95,,129060,FORECAST
11227,2014,01_0039,11,10070602.0,N,7.65,8.37,RT 908A  HUTCHINSON RIVER PK,INTER 12 E 222 ST AND BAYCHE,NEW YORK CITY,INTERNY,95,,127285,FORECAST
11228,2014,01_0040,11,10070602.0,N,8.37,9.48,INTER 12 E 222 ST AND BAYCHE,INTER 13 CONNER ST OVER,NEW YORK CITY,INTERNY,95,,90087,FORECAST
11229,2014,01_0042,11,10070602.0,N,10.07,10.65,RT 908A HUTCHINSON RIVER PKW,BRONX/WEST CO LINE,NEW YORK CITY,INTERNY,95,,103120,FORECAST
11230,2014,01_0043,11,10023605.0,N,0.0,0.25,NY/BRONX CO LINE,RT 87I MAJOR DEEGAN EXPWY EX,NEW YORK CITY,INTERNY,278,,75376,FORECAST
11231,2014,01_0044,11,10023605.0,N,0.25,2.12,RT 87I MAJOR DEEGAN EXPWY EX,EXIT 46 RT 895I SHERIDAN EXP,NEW YORK CITY,INTERNY,278,,98247,FORECAST
11232,2014,01_0045,11,10023605.0,N,2.12,2.91,EXIT 46 RT 895I SHERIDAN EXP,BRONX RIVER PKWY NORTH EX,NEW YORK CITY,INTERNY,278,,109974,FORECAST
11233,2014,01_0046,11,10023605.0,N,2.91,4.34,BRONX RIVER PKWY NORTH EX,CASTLE HILL AVE,NEW YORK CITY,INTERNY,278,,85079,FORECAST
11234,2014,01_0047,11,10023605.0,N,4.34,5.07,CASTLE HILL AVE,RT 95I CROSS BRONX EXPWY END,NEW YORK CITY,INTERNY,278,,85741,FORECAST
11235,2014,01_0048,11,10025802.0,N,0.0,1.88,QUEENS/BRONX CO LINE,RAMP/ACC TO RT 695I,NEW YORK CITY,INTERNY,295,CROSS BRONX EXP,110393,FORECAST
11236,2014,01_0049,11,10025802.0,N,1.88,3.99,RAMP/ACC TO RT 695I,ACC RT 95I END RT 295I,NEW YORK CITY,INTERNY,295,CROSS BRONX EXP,82780,FORECAST
11237,2014,01_0050,11,10050201.0,N,0.0,0.42,RT 278I,ACC WESTCHESTER AVE,NEW YORK CITY,INTERNY,895,,32267,FORECAST
11238,2014,01_0051,11,10050201.0,N,0.42,1.35,ACC WESTCHESTER AVE,ACC RT 95I END RT 895I,NEW YORK CITY,INTERNY,895,,34112,FORECAST
11239,2014,01_0052,11,10045802.0,N,0.0,1.1,QUEENS/BRONX CO LINE,ACC RAMP RT 907W HUTCHINSON,NEW YORK CITY,INTERNY,678,,102557,FORECAST
11240,2014,01_0053,11,10045802.0,N,1.1,2.02,ACC RAMP RT 907W HUTCHINSON,ACC RT 95I & 278I END RT 678,NEW YORK CITY,INTERNY,678,,94241,FORECAST
11241,2014,01_0900,11,10053801.0,N,0.0,0.09,RT 907H BRONX RIVER PKWY,WHITE PLAINS RD,NEW YORK CITY,,907F,BRONX PELHAM PK,31726,FORECAST
11242,2014,01_0901,11,10053801.0,N,0.09,0.39,WHITE PLAINS RD,MULINER AVE,NEW YORK CITY,,907F,BRONX PELHAM PK,30184,FORECAST
11243,2014,01_0902,11,10053801.0,N,0.39,0.7,MULINER AVE,WILLIAMS BRIDGE RD,NEW YORK CITY,,907F,BRONX PELHAM PK,31952,FORECAST
11244,2014,01_0903,11,10053801.0,N,0.7,1.05,WILLIAMS BRIDGE RD,WILSON AV,NEW YORK CITY,,907F,BRONX PELHAM PK,30232,FORECAST
11245,2014,01_0904,11,10053801.0,N,1.05,1.35,WILSON AV,EASTCHESTER RD,NEW YORK CITY,,907F,BRONX PELHAM PK,27037,FORECAST
11246,2014,01_0905,11,10053801.0,N,1.35,1.64,EASTCHESTER RD,STILLWELL AVE,NEW YORK CITY,,907F,BRONX PELHAM PK,32457,FORECAST
11247,2014,01_0906,11,10053801.0,N,1.64,1.8,STILLWELL AVE,RT 908A HUTCHINSON RIVER PKW,NEW YORK CITY,,907F,BRONX PELHAM PK,44568,FORECAST
11248,2014,01_0907,11,10053801.0,N,1.8,2.28,RT 908A HUTCHINSON RIVER PKW,RT 95I BRUCKNER EXPWY OVER,NEW YORK CITY,,907F,BRONX PELHAM PK,21651,FORECAST
11249,2014,01_0908,11,10053901.0,N,0.0,0.86,JCT METCALF AVE & STORY AVE,RT 95I CROSS BRONX EXPWY OVE,NEW YORK CITY,,907H,BRONX RIVER PKW,65316,FORECAST
11250,2014,01_0910,11,10053901.0,N,0.86,2.4,RT 95I CROSS BRONX EXPWY OVE,RT 1 E FORHAM RD UNDER,NEW YORK CITY,,907H,BRONX RIVER PKW,113884,ACTUAL
11251,2014,01_0911,11,10053901.0,N,2.4,3.07,RT 1 E FORHAM RD UNDER,RT 908F MOSHOLU PKY UNDER,NEW YORK CITY,,907H,BRONX RIVER PKW,109334,FORECAST
11252,2014,01_0912,11,10053901.0,N,3.07,3.92,RT 908F MOSHOLU PKY UNDER,E  GUN HILL RD OVER,NEW YORK CITY,,907H,BRONX RIVER PKW,106930,FORECAST
11253,2014,01_0913,11,10053901.0,N,3.92,5.14,E  GUN HILL RD OVER,E 233RD ST,NEW YORK CITY,,907H,BRONX RIVER PKW,89662,FORECAST
11254,2014,01_0914,11,10053901.0,N,5.14,5.59,E 233RD ST,NCL NYC/WESTCHESTER CL - NER,NEW YORK CITY,,907H,BRONX RIVER PKW,81959,FORECAST
11255,2014,01_0917,11,10054502.0,N,2.33,2.85,END 9A/907V OLAP & RT 9 OVER,RT 908F MOSHOLU PKWY OVER,NEW YORK CITY,,907V,HENRY HUDSON PK,63108,FORECAST
11256,2014,01_0918,11,10054502.0,N,2.85,3.35,RT 908F MOSHOLU PKWY OVER,BRONX/WESTCHESTER CL,NEW YORK CITY,,907V,HENRY HUDSON PK,69160,FORECAST
11257,2014,01_0920,11,10054701.0,N,0.0,1.93,INT 95I CROSS BRONX EXPWY,INT BRONX PELHAM PWKY,NEW YORK CITY,,908A,HUTCHINSN RIVER,81931,FORECAST
11258,2014,01_0921,11,10054701.0,N,1.93,2.36,INT BRONX PELHAM PWKY,INT 95I NEW ENGLAND THWY,NEW YORK CITY,,908A,HUTCHINSN RIVER,76957,FORECAST
11259,2014,01_0922,11,10054701.0,N,2.36,3.35,INT 95I NEW ENGLAND THWY,INT ORCHARD BEACH,NEW YORK CITY,,908A,HUTCHINSN RIVER,119402,FORECAST
11260,2014,01_0923,11,10054701.0,N,3.35,4.18,INT ORCHARD BEACH,INT 95I NEW ENGLAND THWY,NEW YORK CITY,,908A,HUTCHINSN RIVER,107902,FORECAST
11261,2014,01_0924,11,10054701.0,N,4.18,4.35,INT 95I NEW ENGLAND THWY,BRONX/WEST CL/NY NCL,NEW YORK CITY,,908A,HUTCHINSN RIVER,75968,FORECAST
11262,2014,01_0925,11,10055101.0,N,0.0,0.2,INT BRONX PARK EAST,INT BRONX RIVER PKWY,NEW YORK CITY,,908F,MOSHOLU PKWY,19697,FORECAST
11263,2014,01_0926,11,10055101.0,N,0.2,0.63,INT BRONX RIVER PKWY,INT DR THEO KAZIMIROFF BLVD,NEW YORK CITY,,908F,MOSHOLU PKWY,29904,FORECAST
11264,2014,01_0927,11,10055101.0,N,0.63,1.38,INT DR THEO KAZIMIROFF BLVD,JCT GRAND BLVD & CONCORSE,NEW YORK CITY,,908F,MOSHOLU PKWY,26988,FORECAST
11265,2014,01_0929,11,10055101.0,N,1.38,2.23,JCT GRAND BLVD & CONCORSE,INT 87I MAJOR DEEGAN,NEW YORK CITY,,908F,MOSHOLU PKWY,28763,FORECAST
11266,2014,01_0930,11,10055101.0,N,2.23,3.11,INT 87I MAJOR DEEGAN,INT HENRY HUDSON PWKY,NEW YORK CITY,,908F,MOSHOLU PKWY,47914,FORECAST
11267,2014,01_1001,11,25579701.0,N,1.74,2.08,BRUCKNER BLVD,PIERHEAD LINE,NEW YORK CITY,,,E 149TH ST,5071,FORECAST
11268,2014,01_1002,11,25573101.0,N,1.3,1.53,CO OP CITY BLV,ROMBOUTS AVE,NEW YORK CITY,,,BAYCHESTR AVE,5134,FORECAST
11269,2014,01_1003,11,25573001.0,N,0.92,1.49,E 233RD ST,PITMAN AVE,NEW YORK CITY,,,BAYCHESTER AVE,14232,FORECAST
11270,2014,01_1004,11,25580901.0,N,0.53,0.79,MORRIS AVE,PARK AVE,NEW YORK CITY,,,E 165TH ST,6055,FORECAST
11271,2014,01_1005,11,25595401.0,N,1.48,1.82,EASTCHESTER RD,STILLWELL AVE,NEW YORK CITY,,,PELHAM PKWY N,20755,FORECAST
11272,2014,01_1006,11,25595401.0,N,0.5,0.77,BRONXWOOD AVE,WILLIMSBRDG RD,NEW YORK CITY,,,PELHAM PKWY N,2919,FORECAST
11273,2014,01_1007,11,25595401.0,N,0.16,0.5,US1 / BOSTON RD,BRONXWOOD AVE,NEW YORK CITY,,,PELHAM PKWY N,2366,FORECAST
11274,2014,01_1008,11,25584401.0,N,0.0,0.23,WEBSTER AVE,BAINBRIDGE,NEW YORK CITY,,,E MSHOLU PKY N,1871,FORECAST
11275,2014,01_1009,11,25606401.0,N,1.84,1.95,ALLERTON AVE,BOSTON RD,NEW YORK CITY,,,WILLIMSBRDG RD,6512,FORECAST
11276,2014,01_1010,11,25574001.0,N,2.09,2.2,E 180TH ST,BRONX PARK S,NEW YORK CITY,,,BOSTON RD,8725,FORECAST
11277,2014,01_1011,11,30081401.0,N,0.0,0.22,ROMBOUTS AVE,CONNER ST,NEW YORK CITY,,,TILLOTSON AVE,4368,FORECAST
11278,2014,01_1101,11,25571401.0,N,0.0,0.16,E 132ND ST,E 135TH ST,NEW YORK CITY,,,ALEXANDER AVE,3282,FORECAST
11279,2014,01_1102,11,25572801.0,N,0.1,0.19,BRUCKNER EXPY,GARRISON AVE,NEW YORK CITY,,,BARRETTO ST,6630,FORECAST
11280,2014,01_1103,11,25572901.0,N,0.0,0.4,GUN HILL RD,BAYCHESTER AVE,NEW YORK CITY,,,BARTOW AVE,19420,FORECAST
11281,2014,01_1104,11,25572901.0,N,0.4,0.69,BAYCHESTER AVE,CO-OP CITY BLVD,NEW YORK CITY,,,BARTOW AVE,18089,FORECAST
11282,2014,01_1105,11,25573001.0,N,0.0,0.4,E 222ND ST,BOSTON RD,NEW YORK CITY,,,BAYCHESTER AVE,13504,FORECAST
11283,2014,01_1106,11,25573001.0,N,0.4,0.92,BOSTON RD,E 233RD ST,NEW YORK CITY,,,BAYCHESTER AVE,15698,FORECAST
11284,2014,01_1107,11,25573001.0,N,1.49,1.86,PITMAN AVE,E 241ST ST,NEW YORK CITY,,,BAYCHESTER AVE,10698,FORECAST
11285,2014,01_1109,11,25574001.0,N,0.0,0.89,THIRD AVE,CROTONA AVE,NEW YORK CITY,,,BOSTON RD,13379,FORECAST
11286,2014,01_1110,11,25574001.0,N,0.89,1.45,CROTONA AVE,SOUTHERN BLVD,NEW YORK CITY,,,BOSTON RD,15222,FORECAST
11287,2014,01_1111,11,25574001.0,N,1.45,1.9,SOUTHERN BLVD,E TREMONT AVE,NEW YORK CITY,,,BOSTON RD,9498,FORECAST
11288,2014,01_1112,11,25574001.0,N,3.0,3.2,BRONX RVR PKWY,,NEW YORK CITY,,,BOSTON RD,10510,FORECAST
11289,2014,01_1114,11,25574201.0,N,0.0,0.39,WHITE PLAINS R,BOSTON RD,NEW YORK CITY,,,BRONX PARK E,24120,FORECAST
11290,2014,01_1115,11,25574701.0,N,0.0,0.1,E TREMONT AVE,SACKET AVE,NEW YORK CITY,,,BRONXDALE AVE,11204,FORECAST
11291,2014,01_1116,11,25574701.0,N,0.1,1.06,SACKET AVE,BRONX PARK E,NEW YORK CITY,,,BRONXDALE AVE,10147,FORECAST
11292,2014,01_1117,11,25575001.0,N,0.0,0.11,TERMINAL ENT,E 134TH ST,NEW YORK CITY,,,BROWN PL,2353,FORECAST
11293,2014,01_1118,11,25575101.0,N,0.0,0.34,THIRD AVE,WILLIS AVE,NEW YORK CITY,,,BRUCKNER BLVD,20740,FORECAST
11294,2014,01_1119,11,25575101.0,N,0.34,0.87,WILLIS AVE,E 135TH ST,NEW YORK CITY,,,BRUCKNER BLVD,45970,FORECAST
11295,2014,01_1120,11,25575101.0,N,0.87,1.67,E 135TH ST,E 149TH ST,NEW YORK CITY,,,BRUCKNER BLVD,6760,FORECAST
11296,2014,01_1121,11,25575101.0,N,1.67,2.04,E 149TH ST,LEGGETT AVE,NEW YORK CITY,,,BRUCKNER BLVD,50106,FORECAST
11297,2014,01_1122,11,25575101.0,N,2.04,2.46,LEGGETT AVE,TIFFANY ST,NEW YORK CITY,,,BRUCKNER BLVD,28499,FORECAST
11298,2014,01_1123,11,25575101.0,N,2.46,2.91,TIFFANY ST,SHERIDAN EXPWY,NEW YORK CITY,,,BRUCKNER BLVD,38785,FORECAST
11299,2014,01_1124,11,25575201.0,N,0.0,0.74,WESTCHESTER AVE,JARVIS AVE,NEW YORK CITY,,,BRUCKNR BLV SW,8239,FORECAST
11300,2014,01_1125,11,25575301.0,N,0.0,0.76,SHERIDAN EXP,BRONX R PKWY,NEW YORK CITY,,,BRUCKNER BLV EN,22665,FORECAST
11301,2014,01_1126,11,25575301.0,N,0.76,1.46,BRONX R PKWY,WHITE PLAINS R,NEW YORK CITY,,,BRUCKNER BLV EN,17085,FORECAST
11302,2014,01_1127,11,25575601.0,N,0.0,0.18,PELHAM PKWY SQ,WSTCHSTR AVE,NEW YORK CITY,,,BURR AVE,4679,FORECAST
11303,2014,01_1128,11,25576101.0,N,1.07,1.54,IN278,WESTCHESTER AV,NEW YORK CITY,,,CASTLE HILL AVE,26095,FORECAST
11304,2014,01_1129,11,25576101.0,N,1.54,2.14,WESTCHESTER AV,E TREMONT AVE,NEW YORK CITY,,,CASTLE HILL AVE,6084,FORECAST
11305,2014,01_1130,11,25577101.0,N,0.08,0.27,PEARTREE AVE,IN95,NEW YORK CITY,,,CONNER ST,13109,FORECAST
11306,2014,01_1131,11,25577101.0,N,0.27,0.45,IN95,BOSTON RD,NEW YORK CITY,,,CONNER ST,26146,FORECAST
11307,2014,01_1132,11,25577201.0,N,0.0,0.8,BARTOW AVE,PEARTREE AVE,NEW YORK CITY,,,CO-OP CITY BLVD,9711,FORECAST
11308,2014,01_1133,11,25577201.0,N,0.8,1.31,PEARTREE AVE,IN95,NEW YORK CITY,,,CO-OP CITY BLVD,8633,FORECAST
11309,2014,01_1134,11,25577701.0,N,0.0,0.75,BOSTON RD,IN95,NEW YORK CITY,,,CROTONA AVE,8639,FORECAST
11310,2014,01_1135,11,25577701.0,N,0.75,1.98,IN95,SOUTHERN BLVD,NEW YORK CITY,,,CROTONA AVE,9035,FORECAST
11311,2014,01_1136,11,25578301.0,N,0.0,0.9,E FORDHAM RD,MOSHOLU PKWY,NEW YORK CITY,,,DR KAZIMIRFF BV,11310,FORECAST
11312,2014,01_1137,11,25578901.0,N,0.58,0.84,WILLIS AVE,LINCOLN AVE,NEW YORK CITY,,,E 135TH ST,24985,FORECAST
11313,2014,01_1138,11,25579001.0,N,0.0,0.08,NY CO LINE,IN87,NEW YORK CITY,,,E 138TH ST,49896,FORECAST
11314,2014,01_1139,11,25579001.0,N,0.08,0.35,IN87,THIRD AVE,NEW YORK CITY,,,E 138TH ST,18450,FORECAST
11315,2014,01_1140,11,25579001.0,N,0.35,0.61,THIRD AVE,WILLIS AVE,NEW YORK CITY,,,E 138TH ST,14941,FORECAST
11316,2014,01_1141,11,25579001.0,N,0.61,1.24,WILLIS AVE,BRUCKNER BLVD,NEW YORK CITY,,,E 138TH ST,13509,FORECAST
11317,2014,01_1142,11,25579901.0,N,0.0,0.22,RIVER AVE,GRD CONCRS/BLV,NEW YORK CITY,,,E 151ST ST,1594,FORECAST
11318,2014,01_1143,11,25580101.0,N,0.15,0.2,SB ENT 87I,RIVER AVE,NEW YORK CITY,,,E 153RD ST,6224,FORECAST
11319,2014,01_1144,11,25580501.0,N,0.0,0.06,87I NB RAMP,E 153RD ST,NEW YORK CITY,,,E 157TH ST,4487,FORECAST
11320,2014,01_1145,11,25580701.0,N,0.0,0.09,WOODYCREST AVE,MACOMBS DMBRG,NEW YORK CITY,,,E 161ST ST,11469,FORECAST
11321,2014,01_1146,11,25580701.0,N,0.09,0.25,MACOMBS DMBRG,RIVER ST,NEW YORK CITY,,,E 161ST ST,10255,FORECAST
11322,2014,01_1147,11,25580701.0,N,0.25,0.45,RIVER ST,GRD CONCOURSE,NEW YORK CITY,,,E 161ST ST,14963,FORECAST
11323,2014,01_1148,11,25580701.0,N,0.45,0.94,GRD CONCOURSE,MELROSE AVE,NEW YORK CITY,,,E 161ST ST,23427,FORECAST
11324,2014,01_1149,11,25580801.0,N,0.59,1.21,WASHINGTON AVE,REV J POLITE,NEW YORK CITY,,,E 163RD ST,17793,FORECAST
11325,2014,01_1150,11,25580801.0,N,1.21,1.68,REV J POLITE,BRUCKNER BLVD,NEW YORK CITY,,,E 163RD ST,13164,FORECAST
11326,2014,01_1151,11,25583501.0,N,0.0,0.88,JEROME AVE,WEBSTER AVE,NEW YORK CITY,,,E 233RD ST,29536,FORECAST
11327,2014,01_1152,11,25583501.0,N,1.23,2.11,WHITE PLAINS RD,BAYCHESTER AVE,NEW YORK CITY,,,E 233RD ST,17223,FORECAST
11328,2014,01_1153,11,25583501.0,N,2.11,3.06,BAYCHESTER AVE,BOSTON RD,NEW YORK CITY,,,E 233RD ST,14158,FORECAST
11329,2014,01_1154,11,25583801.0,N,0.59,0.81,WHITE PLAINS RD,BAYCHESTER AVE,NEW YORK CITY,,,E 241ST ST,14907,FORECAST
11330,2014,01_1155,11,25584101.0,N,0.0,0.21,JEROME AVE,GRD BLV/CNCRS,NEW YORK CITY,,,E FORDHAM RD,30625,FORECAST
11331,2014,01_1156,11,25584101.0,N,0.21,0.37,GRD BLV/CNCRS,E KINGSBRDG RD,NEW YORK CITY,,,E FORDHAM RD,28448,FORECAST
11332,2014,01_1157,11,25584101.0,N,0.37,0.52,E KINGSBRDG RD,WEBSTER AVE,NEW YORK CITY,,,E FORDHAM RD,35834,FORECAST
11333,2014,01_1158,11,25584201.0,N,0.0,0.68,JEROME AVE,BRONX RVR PKY,NEW YORK CITY,,,E GUN HILL RD,20132,FORECAST
11334,2014,01_1159,11,25584201.0,N,0.68,1.6,BRONX RVR PKY,BOSTON RD,NEW YORK CITY,,,E GUN HILL RD,18514,FORECAST
11335,2014,01_1160,11,25584201.0,N,1.6,2.3,BOSTON RD,EASTCHESTER RD,NEW YORK CITY,,,E GUN HILL RD,12603,FORECAST
11336,2014,01_1161,11,25584201.0,N,2.3,3.21,EASTCHESTER RD,IN95,NEW YORK CITY,,,E GUN HILL RD,16643,FORECAST
11337,2014,01_1162,11,25584301.0,N,0.0,0.49,E FORDHAM RD,JEROME AVE,NEW YORK CITY,,,E KINGSBRDG RD,10820,FORECAST
11338,2014,01_1163,11,25584601.0,N,0.0,0.53,JEROME AVE,WEBSTER AVE,NEW YORK CITY,,,E TREMONT AVE,17647,FORECAST
11339,2014,01_1164,11,25584601.0,N,0.53,1.42,WEBSTER AVE,SOUTHERN BLVD,NEW YORK CITY,,,E TREMONT AVE,15003,FORECAST
11340,2014,01_1165,11,25584601.0,N,1.42,2.15,SOUTHERN BLVD,BRONX RVR PKY,NEW YORK CITY,,,E TREMONT AVE,20216,FORECAST
11341,2014,01_1166,11,25584601.0,N,2.15,2.6,BRONX RVR PKY,WHITE PLAINS R,NEW YORK CITY,,,E TREMONT AVE,15693,FORECAST
11342,2014,01_1167,11,25584601.0,N,2.6,3.48,WHITE PLAINS R,SILVER ST,NEW YORK CITY,,,E TREMONT AVE,21307,FORECAST
11343,2014,01_1168,11,25584601.0,N,3.48,3.87,SILVER ST,WESTCHESTER AVE,NEW YORK CITY,,,E TREMONT AVE,13974,FORECAST
11344,2014,01_1169,11,25584901.0,N,0.0,0.28,WILLAMSBRDG RD,SACKET AVE,NEW YORK CITY,,,EASTCHESTER RD,18565,FORECAST
11345,2014,01_1170,11,25584901.0,N,0.28,0.96,SACKET AVE,BRX/PELHM PKY,NEW YORK CITY,,,EASTCHESTER RD,17862,FORECAST
11346,2014,01_1171,11,25584901.0,N,0.96,1.72,BRX/PELHM PKY,E GUN HILL RD,NEW YORK CITY,,,EASTCHESTER RD,10291,FORECAST
11347,2014,01_1172,11,25584901.0,N,1.72,2.37,E GUN HILL RD,BOSTON RD,NEW YORK CITY,,,EASTCHESTER RD,11210,FORECAST
11348,2014,01_1173,11,25584901.0,N,2.37,2.85,BOSTON RD,LACONIA AVE,NEW YORK CITY,,,EASTCHESTER RD,6573,FORECAST
11349,2014,01_1174,11,25585101.0,N,0.0,0.47,HALLECK ST,BRUCKNER BLVD,NEW YORK CITY,,,EDGEWATER RD,8788,FORECAST
11350,2014,01_1175,11,25585301.0,N,0.0,0.57,E 167TH ST,IN95,NEW YORK CITY,,,EDWRD GRNT HWY,17580,FORECAST
11351,2014,01_1177,11,25586701.0,N,0.41,0.92,TIFFANY,EDGEWATER RD,NEW YORK CITY,,,GARRISON AVE,6262,FORECAST
11352,2014,01_1178,11,25587401.0,N,1.04,1.62,E 161ST ST,E 167ND ST,NEW YORK CITY,,,GRAND CONCRSE,17146,FORECAST
